scheme_code,scheme_name,category
151107,HSBC Banking and PSU Debt Fund - Direct Growth,Debt
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,Debt
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,Debt
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,Debt
151104,HSBC Banking and PSU Debt Fund - Regular Growth,Debt
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,Debt
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,Debt
ICICI Prudential Mutual Fund,,Other
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,Debt
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,Debt
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,Debt
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,Debt
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,Debt
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,Debt
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,Debt
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,Debt
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,Debt
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,Debt
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,Debt
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,Debt
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,Debt
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,Debt
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,Debt
Invesco Mutual Fund,,Other
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Other
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Other
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Other
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Other
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Other
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Other
ITI Mutual Fund,,Other
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,Debt
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,Debt
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,Debt
Kotak Mahindra Mutual Fund,,Other
123690,Kotak Banking and PSU Debt - Growth,Debt
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Debt
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,Debt
123693,Kotak Banking and PSU Debt Direct - Growth,Debt
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Debt
LIC Mutual Fund,,Other
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,Other
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,Other
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,Other
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,Other
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,Other
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,Other
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,Other
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,Other
Mirae Asset Mutual Fund,,Other
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Other
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Other
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Other
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Other
Nippon India Mutual Fund,,Other
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Other
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Other
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Other
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Other
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Other
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Other
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Other
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Other
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Other
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Other
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Other
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Other
SBI Mutual Fund,,Other
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Other
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,Other
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Other
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Other
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,Other
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Other
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Other
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Other
Sundaram Mutual Fund,,Other
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Debt
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Debt
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Debt
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Debt
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Debt
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,Debt
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,Debt
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,Debt
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,Debt
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,Debt
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,Debt
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Debt
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Debt
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,Debt
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,Debt
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Debt
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,Debt
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Debt
UTI Mutual Fund,,Other
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,Other
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,Other
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,Other
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,Other
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,Other
126942,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,Other
140116,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,Other
133971,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,Other
139407,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,Other
136110,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,Other
126941,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,Other
126939,UTI Banking & PSU Fund- Regular Plan - Growth Option,Other
Open Ended Schemes(Debt Scheme - Corporate Bond Fund),,Other
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Other
103178,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,Other
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,Other
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,Other
124833,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,Other
103183,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,Other
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,Other
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,Other
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,Other
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,Other
141588,Axis Corporate Bond Fund - Direct Plan Growth,Other
141589,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,Other
141594,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,Other
141595,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,Other
141592,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,Other
141593,Axis Corporate Bond Fund - Regular Plan Growth,Other
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,Other
135916,BANDHAN Corporate Bond Fund - Direct Growth,Other
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,Other
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,Other
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,Other
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,Other
139204,BANDHAN Corporate Bond Fund - Regular Annual IDCW,Other
135914,BANDHAN Corporate Bond Fund - Regular Growth,Other
139203,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,Other
139202,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,Other
135915,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,Other
139205,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,Other
Baroda BNP Paribas Mutual Fund,,Other
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,Other
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,Other
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,Other
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,Other
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,Other
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,Other
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,Other
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,Other
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,Other
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,Other
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,Other
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,Other
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Other
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),Other
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,Other
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),Other
144646,DSP Corporate Bond Fund - Direct - Growth,Other
144647,DSP Corporate Bond Fund - Direct - IDCW,Other
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,Other
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,Other
144644,DSP Corporate Bond Fund - Regular - Growth,Other
144650,DSP Corporate Bond Fund - Regular - IDCW,Other
144645,DSP Corporate Bond Fund - Regular - IDCW - Monthly,Other
144649,DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,Other
119289,Franklin India Corporate Debt Fund - Direct - Bonus,Debt
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,Debt
100528,Franklin India Corporate Debt Fund - Growth,Debt
100532,Franklin India Corporate Debt Fund - Monthly Bonus,Debt
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,Debt
118570,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,Debt
118573,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,Debt
118571,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,Debt
118572,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,Debt
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,Debt
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,Debt
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,Debt
113070,HDFC Corporate Bond Fund - Growth Option,Other
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,Other
132848,HDFC Corporate Bond Fund - IDCW Option,Other
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,Other
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,Other
118986,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,Other
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,Other
150996,HSBC Corporate Bond Fund - Direct Growth,Other
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,Other
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,Other
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,Other
150992,HSBC Corporate Bond Fund - Regular Growth,Other
150993,HSBC Corporate Bond Fund - Regular Quarterly IDCW,Other
150994,HSBC Corporate Bond Fund - Regular Semi Annual IDCW,Other
150995,HSBC Corporate Bond Fund -Regular Plan - Bonus,Other
130947,ICICI Prudential Corporate Bond Fund - Bonus,Other
111988,ICICI Prudential Corporate Bond Fund - Daily IDCW,Other
120695,ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,Other
120696,ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,Other
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,Other
131152,ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,Other
120697,ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,Other
120694,ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,Other
120693,ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,Other
111990,ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,Other
111987,ICICI Prudential Corporate Bond Fund - Growth,Other
131151,ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,Other
111991,ICICI Prudential Corporate Bond Fund - Monthly IDCW,Other
111982,ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,Other
111985,ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,Other
111989,ICICI Prudential Corporate Bond Fund - Weekly IDCW,Other
111992,ICICI Prudential Corporate Bond Fund -Quarterly IDCW,Other
111976,ICICI Prudential Corporate Bond Fund Retail Daily Dividend,Other
111978,ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,Other
111972,ICICI Prudential Corporate Bond Fund Retail Growth,Other
111979,ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,Other
111980,ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,Other
111977,ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,Other
120500,Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),Other
120499,Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),Other
120497,Invesco India Corporate Bond Fund - Direct Plan - Growth,Other
120496,Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Other
120501,Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),Other
106179,Invesco India Corporate Bond Fund - Regular Plan - Annual IDCW (Payout / Reinvestment),Other
116109,Invesco India Corporate Bond Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment),Other
106177,Invesco India Corporate Bond Fund - Regular Plan - Growth,Other
106171,Invesco India Corporate Bond Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Other
106172,Invesco India Corporate Bond Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment),Other
133770,Kotak Coporate Bond Fund- Retail Plan-Growth Option,Other
133791,Kotak Corporate Bond Fund- Direct Plan- Growth Option,Other
133792,Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,Other
133772,Kotak Corporate Bond Fund- Institutional Plan-Growth Option,Other
133782,Kotak Corporate Bond Fund- Regular Plan-Growth Option,Other
133787,Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,Other
133777,Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option,Other
133779,Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option,Other
133771,Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option,Other
133783,Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option,Other
133776,Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option,Other
133786,Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option,Other
148755,Mirae Asset Corporate Bond Fund Direct Growth Plan,Other
148756,Mirae Asset Corporate Bond Fund Direct IDCW,Other
148757,Mirae Asset Corporate Bond Fund Regular Growth,Other
148758,Mirae Asset Corporate Bond Fund Regular IDCW,Other
109472,NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option,Other
118808,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option,Other
125266,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option,Other
118809,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option,Other
118811,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option,Other
118812,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option,Other
118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Other
118814,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Other
100859,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,Other
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,Other
125267,NIPPON INDIA CORPORATE BOND FUND - IDCW Option,Other
100857,NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,Other
100858,NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option,Other
109473,NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option,Other
PGIM India Mutual Fund,,Other
138317,PGIM India Corporate Bond Fund - Annual Dividend,Other
138329,PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend,Other
138330,PGIM India Corporate Bond Fund - Direct Plan - Growth,Other
138331,PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend,Other
138332,PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend,Other
138318,PGIM India Corporate Bond Fund - Growth,Other
138316,PGIM India Corporate Bond Fund - Monthly Dividend,Other
138323,PGIM India Corporate Bond Fund - Premium Plus Plan - Growth,Other
138315,PGIM India Corporate Bond Fund - Quarterly Dividend,Other
138336,PGIM India Premier Bond Fund - Annual Bonus,Other
138324,PGIM India Premier Bond Fund - Bonus,Other
138333,PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus,Other
